followers,following,posts,account_age,profile_pic,bio,label
120,1800,4,2,1,0,1
1500,800,120,36,1,1,0
80,2000,2,1,0,0,1
2500,900,300,48,1,1,0
300,2500,8,3,1,0,1
5000,1200,450,60,1,1,0
50,1500,1,1,0,0,1
3200,700,280,42,1,1,0
200,2200,5,2,0,0,1
1800,950,150,30,1,1,0
90,1700,3,1,1,0,1
4200,600,500,72,1,1,0
150,1900,7,2,0,0,1
2800,1000,210,40,1,1,0
70,1300,2,1,0,0,1
3500,850,320,55,1,1,0
400,3000,10,4,1,0,1
2200,750,190,38,1,1,0
60,1800,1,1,0,0,1
6000,1400,700,84,1,1,0
250,2100,6,2,1,0,1
1700,900,130,28,1,1,0
100,1600,3,1,0,0,1
4500,1100,380,65,1,1,0
350,2800,9,3,1,0,1
3000,950,250,45,1,1,0
40,1200,1,1,0,0,1
5200,1300,600,78,1,1,0
180,2300,5,2,0,0,1
2400,800,200,35,1,1,0
